,OR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0,0.7597348799,0.7597348799,1,15,agom,dulo,0.30940882410000003,1.865483602,0.30940882410000003,1.865483602,,,4.7604445545,,
1,1.403292181,1.2374358767,2,14,agom,esci,0.44296393850000004,4.445573949,0.5711954378,2.6807769242,,,2.8891581494,0.0,0.0
2,1.1166666667,1.2374358767,2,16,agom,esci,0.39393962330000004,3.1653186704,0.5711954378,2.6807769242,,,3.5386643562,0.0,0.0
3,1.4246341463,1.1474594658,3,8,agom,fluo,0.6096151999,3.3292845239,0.6399952412000001,2.0573015875,,,5.3314098658999995,0.0,0.0
4,0.944866336,1.1474594658,3,13,agom,fluo,0.4227264156,2.1119389752,0.6399952412000001,2.0573015875,,,5.9380015691,0.0,0.0
5,0.6950819672,0.8517577829,4,10,agom,paro,0.2690498847,1.7957225359,0.4470492996,1.6228441056,,,4.2642441539,0.0,0.0
6,1.0136972802,0.8517577829,4,12,agom,paro,0.421187199,2.4397279367999998,0.4470492996,1.6228441056,,,4.979984702,0.0,0.0
7,1.2301051051,1.3527642354,5,11,agom,venl,0.41554095620000003,3.6414186059,0.654701867,2.7951212128,,,3.2615017226,0.0,0.0
8,1.4608695651999999,1.3527642354,5,19,agom,venl,0.5504483433,3.87709385,0.654701867,2.7951212128,,,4.0322595408,0.0,0.0
9,2.4519230769,1.0527463952,6,169,amit,fluo,0.5567042823,10.7991387288,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.7476395293,0.0,0.0
10,1.2,1.0527463952,6,175,amit,fluo,0.3012796459,4.7796126276,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,2.0112045695,0.0,0.0
11,1.0363636364,1.0527463952,6,178,amit,fluo,0.2472769431,4.3435088339,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.8707913972,0.0,0.0
12,0.8076923077,1.0527463952,6,181,amit,fluo,0.1654691706,3.9425281548,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.5283418718,0.0,0.0
13,0.8333333333,1.0527463952,6,186,amit,fluo,0.1581811762,4.3901838461,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.3912166873,0.0,0.0
14,1.7777777778,1.0527463952,6,188,amit,fluo,0.3610814963,8.7528545763,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.511857892,0.0,0.0
15,0.5217391305,1.0527463952,6,189,amit,fluo,0.12124431740000001,2.2451503382,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.8037289468000002,0.0,0.0
16,0.75,1.0527463952,6,191,amit,fluo,0.18044105940000002,3.1173614349,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.8926408935,0.0,0.0
17,0.8181818182,1.0527463952,6,196,amit,fluo,0.2032626398,3.2933818449,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.9808534744,0.0,0.0
18,1.8027777779,1.0527463952,6,197,amit,fluo,0.5355096794,6.0689990144,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,2.6070862787999998,0.0,0.0
19,0.8,1.0527463952,6,198,amit,fluo,0.1610085989,3.974942981,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,1.4946713863,0.0,0.0
20,0.9250398724000001,1.0527463952,6,199,amit,fluo,0.2849773758,3.0026901715,0.6971330147,1.5897611349,0.6589047072,1.6819958340999999,2.7709466592,0.0,0.0
21,0.3240740741,1.0225133537,7,221,amit,fluv,0.0605173986,1.7354348974,0.3641215344,2.8713862259000003,3.47687e-05,30071.1055722759,0.8999281212,0.37819127140000003,0.46735201060000003
22,0.9653979239,1.0225133537,7,228,amit,fluv,0.35359678310000003,2.6357512168,0.3641215344,2.8713862259000003,3.47687e-05,30071.1055722759,1.5605589028,0.37819127140000003,0.46735201060000003
23,2.7337278108,1.0225133537,7,232,amit,fluv,0.686637456,10.883862624,0.3641215344,2.8713862259000003,3.47687e-05,30071.1055722759,1.1427246241,0.37819127140000003,0.46735201060000003
24,1.9811320755000001,1.1165043529,8,239,amit,miln,0.5939767491,6.6078079766,0.3459062465,3.6038145675,,,1.4570817743,0.3085765947,0.4308993041
25,0.5986394558,1.1165043529,8,240,amit,miln,0.1637704357,2.1882410982,0.3459062465,3.6038145675,,,1.3405880734,0.3085765947,0.4308993041
26,0.4166666666,1.0400233149,9,305,amit,paro,0.0619437756,2.8027208449,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,1.0573610653,0.0,0.0
27,2.5000000001,1.0400233149,9,307,amit,paro,0.3610638525,17.3099576627,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,1.0259783521,0.0,0.0
28,2.0144144145,1.0400233149,9,311,amit,paro,0.6639142028,6.1120328742,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,3.1182024269,0.0,0.0
29,0.8166666667,1.0400233149,9,312,amit,paro,0.1982965784,3.3633683946,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,1.9173285571,0.0,0.0
30,0.3571428571,1.0400233149,9,324,amit,paro,0.0587945028,2.1694378599,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,1.1802689634,0.0,0.0
31,1.1428571428,1.0400233149,9,331,amit,paro,0.32097682780000003,4.0692110321,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,2.3820178025,0.0,0.0
32,1.3245476003,1.0400233149,9,338,amit,paro,0.5175915492000001,3.3895961943,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,4.3508423444,0.0,0.0
33,0.6228373703,1.0400233149,9,339,amit,paro,0.1688882022,2.2969419110000002,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,2.2555003424,0.0,0.0
34,1.8,1.0400233149,9,340,amit,paro,0.36969074290000004,8.7640820387,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,1.5332143583,0.0,0.0
35,0.42553191490000003,1.0400233149,9,348,amit,paro,0.14053670840000002,1.2884705540999999,0.7337088639,1.474220292,0.7028960388000001,1.5388456271000002,3.1298074223,0.0,0.0
