,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.4093160081233540,0.20220047367225300,2.0953073902303300,6
1,1,B,1.232890091033760,1.0062490742942500,1.6555971752655200,7
2,2,C,0.5535509442272150,0.14360071043564400,1.0321557950443600,3
3,3,D,0.7551208770200690,0.22732379108923000,1.5283818960872300,7
4,4,E,1.0785341644886300,0.7044546194635610,0.8721167435886560,3
5,5,F,1.3968245646335400,0.30402515151832900,7.939931379276970,6
6,6,G,0.6724943421173260,0.5757262463718280,1.5969065020043100,5
7,7,H,0.878809663657102,0.4816471319849120,2.8599969857095400,6
8,8,I,1.0314540641078700,0.4257483136048870,2.1310586757598800,6
9,9,J,1.0748212577280900,0.38770642113501100,2.8948979509516700,4
