,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.6730778678262280,0.12985763139542500,1.9412533809964600,1
1,1,B,1.3238476794697200,1.0502000320772300,1.8885702465186200,7
2,2,C,0.6503023241292310,0.14889041663366300,1.138222854724470,7
3,3,D,0.9098312608533730,0.22266784761830800,1.6806383204034800,5
4,4,E,1.0390416503029500,0.48396086916323700,0.7854200323816810,4
5,5,F,1.0270008279840800,0.28414655588299200,5.722919832531720,4
6,6,G,0.9970670582833310,0.8942819514261760,1.331887907447890,4
7,7,H,1.0922959303974900,0.377204778192441,3.6440508697612100,1
8,8,I,1.1582254509625300,0.3202585762629940,2.6207405559848300,4
9,9,J,0.9560795734928630,0.34279075255430300,3.210839982512780,4
